fs	behav
FS_L_LatVent_Vol	MMSE_Score
FS_L_InfLatVent_Vol	PSQI_Score
FS_L_Cerebellum_WM_Vol	PicSeq_AgeAdj
FS_L_Cerebellum_Cort_Vol	CardSort_AgeAdj
FS_L_ThalamusProper_Vol	Flanker_AgeAdj
FS_L_Caudate_Vol	PMAT24_A_CR
FS_L_Putamen_Vol	PMAT24_A_RTCR
FS_L_Pallidum_Vol	ReadEng_AgeAdj
FS_3rdVent_Vol	PicVocab_AgeAdj
FS_4thVent_Vol	ProcSpeed_AgeAdj
FS_BrainStem_Vol	DDisc_SV_1mo_200
FS_L_Hippo_Vol	DDisc_SV_6mo_200
FS_L_Amygdala_Vol	DDisc_SV_1yr_200
FS_CSF_Vol	DDisc_SV_3yr_200
FS_L_AccumbensArea_Vol	DDisc_SV_5yr_200
FS_L_VentDC_Vol	DDisc_SV_10yr_200
FS_L_Vessel_Vol	DDisc_SV_1mo_40K
FS_L_ChoroidPlexus_Vol	DDisc_SV_6mo_40K
FS_R_LatVent_Vol	DDisc_SV_1yr_40K
FS_R_InfLatVent_Vol	DDisc_SV_3yr_40K
FS_R_Cerebellum_WM_Vol	DDisc_SV_5yr_40K
FS_R_Cerebellum_Cort_Vol	DDisc_SV_10yr_40K
FS_R_ThalamusProper_Vol	DDisc_AUC_200
FS_R_Caudate_Vol	DDisc_AUC_40K
FS_R_Putamen_Vol	VSPLOT_TC
FS_R_Pallidum_Vol	VSPLOT_CRTE
FS_R_Hippo_Vol	VSPLOT_OFF
FS_R_Amygdala_Vol	SCPT_TP
FS_R_AccumbensArea_Vol	SCPT_TN
FS_R_VentDC_Vol	SCPT_FP
FS_R_Vessel_Vol	SCPT_FN
FS_R_ChoroidPlexus_Vol	SCPT_TPRT
FS_5thVent_Vol	SCPT_SEN
FS_WM_Hypointens_Vol	SCPT_SPEC
FS_L_WM_Hypointens_Vol	SCPT_LRNR
FS_R_WM_Hypointens_Vol	IWRD_TOT
FS_L_Non-WM_Hypointens_Vol	IWRD_RTC
FS_R_Non-WM_Hypointens_Vol	ListSort_AgeAdj
FS_OpticChiasm_Vol	CogFluidComp_AgeAdj
FS_CC_Posterior_Vol	CogEarlyComp_AgeAdj
FS_CC_MidPosterior_Vol	CogTotalComp_AgeAdj
FS_CC_Central_Vol	CogCrystalComp_AgeAdj
